Month,Electricity Residential Price: New England cents per kilowatthour
Dec-19,20.86
Nov-19,21.16
Oct-19,21.28
Sep-19,21.3
Aug-19,20.75
Jul-19,21.21
Jun-19,21.2
May-19,21.68
Apr-19,21.82
Mar-19,21.45
Feb-19,21.66
Jan-19,20.8
Dec-18,19.93
Nov-18,20.21
Oct-18,20.22
Sep-18,19.79
Aug-18,19.21
Jul-18,19.93
Jun-18,20.36
May-18,20.63
Apr-18,20.79
Mar-18,20.7
Feb-18,20.94
Jan-18,19.82
Dec-17,18.97
Nov-17,19.44
Oct-17,19.53
Sep-17,19.29
Aug-17,18.88
Jul-17,18.79
Jun-17,18.74
May-17,18.86
Apr-17,19.18
Mar-17,18.6
Feb-17,18.81
Jan-17,18.34
Dec-16,18.4
Nov-16,18.87
Oct-16,18.81
Sep-16,19.01
Aug-16,18.09
Jul-16,18.22
Jun-16,18.85
May-16,19.15
Apr-16,19.5
Mar-16,19.23
Feb-16,19.25
Jan-16,18.81
Dec-15,18.8
Nov-15,18.55
Oct-15,18.58
Sep-15,18.6
Aug-15,18.08
Jul-15,18.4
Jun-15,19.74
May-15,20.45
Apr-15,20.69
Mar-15,20.71
Feb-15,20.74
Jan-15,19.88
Dec-14,19.01
Nov-14,18.01
Oct-14,17.82
Sep-14,17.62
Aug-14,18.09
Jul-14,17.2
Jun-14,17.62
May-14,18.17
Apr-14,18.29
Mar-14,17.66
Feb-14,17.77
Jan-14,16.94
Dec-13,18.26
Nov-13,16.55
Oct-13,16.39
Sep-13,16.38
Aug-13,16.3
Jul-13,15.69
Jun-13,16.2
May-13,16.37
Apr-13,15.85
Mar-13,15.72
Feb-13,15.75
Jan-13,15.35
Dec-12,15.83
Nov-12,15.36
Oct-12,15.61
Sep-12,15.84
Aug-12,15.22
Jul-12,15.42
Jun-12,15.96
May-12,15.99
Apr-12,15.67
Mar-12,16.03
Feb-12,15.97
Jan-12,15.85
Dec-11,16.12
Nov-11,15.83
Oct-11,15.63
Sep-11,16.28
Aug-11,16.01
Jul-11,15.46
Jun-11,16.15
May-11,16.16
Apr-11,15.65
Mar-11,15.86
Feb-11,15.7
Jan-11,15.94
Dec-10,15.95
Nov-10,16.18
Oct-10,16.39
Sep-10,16.27
Aug-10,16.42
Jul-10,15.92
Jun-10,16.06
May-10,16.29
Apr-10,16.64
Mar-10,16.52
Feb-10,16.01
Jan-10,16.32
Dec-09,16.35
Nov-09,17
Oct-09,17.17
Sep-09,17.74
Aug-09,16.86
Jul-09,17.31
Jun-09,18.05
May-09,17.97
Apr-09,17.87
Mar-09,17.62
Feb-09,18.1
Jan-09,17.99
Dec-08,18.12
Nov-08,18.11
Oct-08,18.94
Sep-08,18.21
Aug-08,18.34
Jul-08,17.73
Jun-08,17.49
May-08,18.08
Apr-08,17.02
Mar-08,16.97
Feb-08,16.58
Jan-08,16.7
Dec-07,16.13
Nov-07,16.4
Oct-07,16.66
Sep-07,16.7
Aug-07,16.39
Jul-07,16.44
Jun-07,17.18
May-07,16.6
Apr-07,17.13
Mar-07,17.02
Feb-07,16.78
Jan-07,17.12
Dec-06,16.27
Nov-06,15.58
Oct-06,15.98
Sep-06,16.44
Aug-06,16.25
Jul-06,15.66
Jun-06,15.88
May-06,16.05
Apr-06,16.11
Mar-06,15.98
Feb-06,16.22
Jan-06,15.54
Dec-05,13.83
Nov-05,14.09
Oct-05,13.51
Sep-05,14.05
Aug-05,13.45
Jul-05,13.31
Jun-05,13.4
May-05,13.37
Apr-05,13.23
Mar-05,12.97
Feb-05,13.16
Jan-05,12.69
Dec-04,11.67
Nov-04,11.79
Oct-04,11.92
Sep-04,11.93
Aug-04,12.25
Jul-04,12.24
Jun-04,12.06
May-04,12.02
Apr-04,11.89
Mar-04,11.85
Feb-04,11.91
Jan-04,11.47
Dec-03,11.75
Nov-03,11.96
Oct-03,12.14
Sep-03,12.37
Aug-03,12.08
Jul-03,11.91
Jun-03,12.17
May-03,11.91
Apr-03,11.15
Mar-03,11.15
Feb-03,11.06
Jan-03,10.78
Dec-02,11.03
Nov-02,11.28
Oct-02,11.47
Sep-02,11.15
Aug-02,11.01
Jul-02,11.19
Jun-02,11.34
May-02,11.23
Apr-02,11.53
Mar-02,11.45
Feb-02,11.04
Jan-02,11.26
Dec-01,11.68
Nov-01,12.09
Oct-01,12.47
Sep-01,12.37
Aug-01,12.11
Jul-01,12.49
Jun-01,12.19
May-01,12.2
Apr-01,12.18
Mar-01,11.82
Feb-01,11.72
Jan-01,11.8
Dec-00,11.29
Nov-00,11.26
Oct-00,11.32
Sep-00,11.27
Aug-00,11.14
Jul-00,11.39
Jun-00,11.49
May-00,11.25
Apr-00,11.32
Mar-00,10.83
Feb-00,10.61
Jan-00,10.96
Dec-99,10.31
Nov-99,11.19
Oct-99,11.35
Sep-99,11.07
Aug-99,11.18
Jul-99,11.2
Jun-99,11.7
May-99,11.38
Apr-99,11.43
Mar-99,11.15
Feb-99,11.33
Jan-99,10.95
Dec-98,11.52
Nov-98,11.39
Oct-98,11.44
Sep-98,11.24
Aug-98,11.67
Jul-98,11.55
Jun-98,11.74
May-98,11.7
Apr-98,11.59
Mar-98,11.63
Feb-98,11.67
Jan-98,11.6
Dec-97,12.26
Nov-97,11.99
Oct-97,12.34
Sep-97,12.05
Aug-97,12.25
Jul-97,12.1
Jun-97,12.65
May-97,12.03
Apr-97,11.54
Mar-97,12.07
Feb-97,11.73
Jan-97,11.81
Dec-96,12.3
