,Date,Electricity Price,Month and Year,Month,Year,Day,Datetime
0,Dec-96,12.3,Dec 96,12,1996,1,1996-12-01
1,Jan-97,11.81,Jan 97,1,1997,1,1997-01-01
2,Feb-97,11.73,Feb 97,2,1997,1,1997-02-01
3,Mar-97,12.07,Mar 97,3,1997,1,1997-03-01
4,Apr-97,11.54,Apr 97,4,1997,1,1997-04-01
5,May-97,12.03,May 97,5,1997,1,1997-05-01
6,Jun-97,12.65,Jun 97,6,1997,1,1997-06-01
7,Jul-97,12.1,Jul 97,7,1997,1,1997-07-01
8,Aug-97,12.25,Aug 97,8,1997,1,1997-08-01
9,Sep-97,12.05,Sep 97,9,1997,1,1997-09-01
10,Oct-97,12.34,Oct 97,10,1997,1,1997-10-01
11,Nov-97,11.99,Nov 97,11,1997,1,1997-11-01
12,Dec-97,12.26,Dec 97,12,1997,1,1997-12-01
13,Jan-98,11.6,Jan 98,1,1998,1,1998-01-01
14,Feb-98,11.67,Feb 98,2,1998,1,1998-02-01
15,Mar-98,11.63,Mar 98,3,1998,1,1998-03-01
16,Apr-98,11.59,Apr 98,4,1998,1,1998-04-01
17,May-98,11.7,May 98,5,1998,1,1998-05-01
18,Jun-98,11.74,Jun 98,6,1998,1,1998-06-01
19,Jul-98,11.55,Jul 98,7,1998,1,1998-07-01
20,Aug-98,11.67,Aug 98,8,1998,1,1998-08-01
21,Sep-98,11.24,Sep 98,9,1998,1,1998-09-01
22,Oct-98,11.44,Oct 98,10,1998,1,1998-10-01
23,Nov-98,11.39,Nov 98,11,1998,1,1998-11-01
24,Dec-98,11.52,Dec 98,12,1998,1,1998-12-01
25,Jan-99,10.95,Jan 99,1,1999,1,1999-01-01
26,Feb-99,11.33,Feb 99,2,1999,1,1999-02-01
27,Mar-99,11.15,Mar 99,3,1999,1,1999-03-01
28,Apr-99,11.43,Apr 99,4,1999,1,1999-04-01
29,May-99,11.38,May 99,5,1999,1,1999-05-01
30,Jun-99,11.7,Jun 99,6,1999,1,1999-06-01
31,Jul-99,11.2,Jul 99,7,1999,1,1999-07-01
32,Aug-99,11.18,Aug 99,8,1999,1,1999-08-01
33,Sep-99,11.07,Sep 99,9,1999,1,1999-09-01
34,Oct-99,11.35,Oct 99,10,1999,1,1999-10-01
